标题,成交日期
花好园 1室0厅 31.22平米,2025.01.22
新亚洲花园 7室3厅 238.86平米,2025.01.22
嘉宝田花园 3室2厅 83.8平米,2025.01.21
金地上塘道二期 2室2厅 36.99平米,2025.01.21
振业城一期 5室2厅 177.85平米,2025.01.21
中城康桥花园一期 2室1厅 66.93平米,2025.01.21
万科第五园五期 1室1厅 42.29平米,2025.01.21
阳光里 2室1厅 44.85平米,2025.01.21
深业泰然观澜玫瑰苑 2室2厅 72.78平米,2025.01.21
皇庭世纪 3室2厅 103.45平米,2025.01.21
东方新地 1室1厅 43.8平米,2025.01.21
天玺1号 3室2厅 68.12平米,2025.01.21
新鸿花园 1室1厅 43.26平米,2025.01.21
财富港大厦 2室1厅 42.1平米,2025.01.21
特力大厦 1室1厅 44.18平米,2025.01.21
波托菲诺纯水岸四期 4室2厅 216.31平米,2025.01.21
雷圳碧榕湾海景花园 1室1厅 40.48平米,2025.01.21
御峰园 4室2厅 91.31平米,2025.01.21
朗庭豪园 3室2厅 105.13平米,2025.01.21
潜龙曼海宁花园南区 3室1厅 87.8平米,2025.01.21
万科城三期 4室2厅 143.07平米,2025.01.21
景蜜村 3室2厅 86.54平米,2025.01.21
城投青莲公寓 1室1厅 43.92平米,2025.01.21
鼎太风华二期 3室2厅 96.33平米,2025.01.21
招商玺家园 2室2厅 127.13平米,2025.01.21
恒冠豪园 4室2厅 113.14平米,2025.01.21
东埔海景花园一期 2室1厅 83.28平米,2025.01.21
桐林公寓 2室1厅 54.22平米,2025.01.21
诺德假日花园 3室2厅 79.25平米,2025.01.21
佳兆业大都汇 2室2厅 59.62平米,2025.01.21
冠城世家 3室2厅 118.85平米,2025.01.20
光明大第 4室2厅 88.49平米,2025.01.20
金城华庭 2室1厅 50.67平米,2025.01.20
竹园小区 4室0厅 64.9平米,2025.01.20
海珑华苑 1室1厅 44.8平米,2025.01.20
中粮祥云 2室1厅 75平米,2025.01.20
金域豪庭三期 1室1厅 47.91平米,2025.01.20
阅山华府 5室2厅 57.28平米,2025.01.20
光大村 1室0厅 32.06平米,2025.01.20
锦绣江南二期 3室2厅 99.44平米,2025.01.20
阅山华府 5室2厅 145.14平米,2025.01.20
天悦龙庭二期 3室2厅 126.46平米,2025.01.20
华盛西荟城4期 2室2厅 68.69平米,2025.01.20
财富城 4室2厅 91.68平米,2025.01.20
锦缘里嘉园 2室1厅 59.44平米,2025.01.20
世纪村二期 3室2厅 90.73平米,2025.01.20
万科红四期 3室1厅 89.07平米,2025.01.20
御峰园 4室2厅 115.85平米,2025.01.20
财富城 4室2厅 89.55平米,2025.01.20
金泓凯旋城二期 5室1厅 182.97平米,2025.01.19
龙华花半里花园 3室2厅 79.33平米,2025.01.19
绿景中城天邑花园 3室2厅 98.78平米,2025.01.19
星海名城二期七组团 3室2厅 102.61平米,2025.01.19
锦绣花园二期 4室2厅 179.95平米,2025.01.19
英郡假日广场 3室2厅 108.1平米,2025.01.19
澜湾花园 1室1厅 47.7平米,2025.01.19
风临左岸 3室2厅 95.23平米,2025.01.19
五十小区翠桐雅苑小区 1室1厅 33平米,2025.01.19
泰华花园 3室2厅 88.7平米,2025.01.19
西城品阁 1室0厅 37.24平米,2025.01.19
领航城领翔华府 4室2厅 174.25平米,2025.01.19
城市天地广场 1室1厅 52.92平米,2025.01.19
翰岭院 3室1厅 84.61平米,2025.01.19
龙光玖龙台 2室2厅 61.57平米,2025.01.19
华强城市花园一期 2室1厅 71.93平米,2025.01.19
罗湖金岸大厦 2室1厅 70平米,2025.01.19
万科星城 1室0厅 28.44平米,2025.01.19
莱蒙水榭春天5期 3室2厅 87.54平米,2025.01.19
龙光玖云著 2室1厅 50.57平米,2025.01.19
万科第五园一期 5室2厅 187.21平米,2025.01.19
潜龙曼海宁花园南区 2室1厅 67.42平米,2025.01.19
深铁瑞城 3室2厅 97.85平米,2025.01.19
美佳华首誉 4室1厅 139平米,2025.01.19
世界花园樱花居 3室2厅 94.54平米,2025.01.19
皇都广场 3室2厅 107.86平米,2025.01.19
深物业金领 2室1厅 64.57平米,2025.01.19
赛格公寓 1室1厅 44.16平米,2025.01.19
百仕达东郡 1室1厅 45.5平米,2025.01.19
碧湖春天 3室2厅 96.66平米,2025.01.19
现代之窗 1室1厅 49.88平米,2025.01.19
